ID,Title,Category,Client_Name,Before_Image,After_Image,Carousel_Images,Metrics_Uplift,Description,Bullet_Points
1,Colsigen Mist - A+ Content & Listing Images,"Listing Images, A+ Content",Colsigen Mist,images/colsigen_before.jpg,images/colsigen_after.jpg,"images/colsigen_after.jpg,images/colsigen_infographic.jpg,images/colsigen_lifestyle.jpg",+42% Conversion Rate,"I design high-converting Amazon listing images and A+ content that help products stand out and sell faster. Features clear, benefit-focused visuals, clean modern layouts, and lifestyle images that build trust.",BENEFIT-FOCUSED VISUALS: Designed to make products stand out and sell faster;CLEAN MODERN LAYOUTS: Optimized structures that hold customer attention;INFOGRAPHICS SPECIFICATIONS: High-impact graphics that simplify complex product features;LIFESTYLE IMAGES: Custom rendered scenes to build emotional brand trust
2,Oasis Pearled Sand Candles - Premium EBC,"A+ Content, Live Projects",Oasis Candles,images/oasis_before.jpg,images/oasis_after.jpg,"images/oasis_after.jpg,images/oasis_features.jpg,images/oasis_lifestyle.jpg",+38% Sales Volume,"Professionally designed Amazon A+ (EBC) content layout for Oasis Pearled Sand Candles. Visuals focus on highlighting product benefits, long burn times, refilling instructions, and an eco-friendly non-toxic luxury aesthetic.","MESS-FREE GRANULATED WAX: Easy to pour wax that turns any container into a candle;ECO-FRIENDLY & NON-TOXIC: Safe, clean-burning plant-based wax formulation;REFILLABLE & REUSABLE: Pour fresh pearls and insert a new wick to reuse infinitely;LONG BURN TIME: High-quality wicks designed for extended clean burning times"
3,Ayaani Sweet Dreams Sleep Aid,"Listing Images, A+ Content",Ayaani,images/ayaani_before.jpg,images/ayaani_after.jpg,"images/ayaani_after.jpg,images/ayaani_infographic.jpg,images/ayaani_lifestyle.jpg",+35% Conversion Rate,"Visually engaging A+ content and listing images for Sleep Aid Supplement. Crafted with calm blue tones reflecting nighttime & relaxation, highlighting ingredients and vegan safety details.","SAY GOODBYE TO SLEEPLESS NIGHTS: Promotes deep restful sleep and helps fall asleep faster;REDUCES STRESS & ANXIETY: Formulated to calm the mind and relax body muscles;HIGH-QUALITY INGREDIENTS: Vegan-friendly, gluten-free, non-GMO, and zero sugar;NO ARTIFICIAL COLORS: Pure clean ingredients with no habit-forming chemicals"
4,Banord Outdoor String Lights EBC,A+ Content,Banord,images/banord_before.jpg,images/banord_after.jpg,"images/banord_after.jpg,images/banord_module1.jpg,images/banord_module2.jpg",+35% Sales Volume,"Premium Amazon A+ Content detailing smart control, dimming features, energy efficiency, and weatherproofing specs for Banord Outdoor S14 String Lights.",SMART BRIGHTNESS CONTROL: Fully dimmable adjustments to set the perfect patio mood;ENERGY EFFICIENT LED: S14 filament LED drawing minimal power while remaining bright;WEATHERPROOF STYLING: Built-in loops and heavy-duty IP65 cord waterproof sockets;VOICE CONTROL COMPATIBLE: Integrates with smart home devices for hands-free operations
5,Zooba Lab Fluoride-Free Toothpaste,"A+ Content, Live Projects",Zooba Lab,images/zooba_before.jpg,images/zooba_after.jpg,"images/zooba_after.jpg,images/zooba_module1.jpg,images/zooba_module2.jpg",+28% Conversion Rate,"Amazon A+ Content layout highlighting natural ingredients, enamel remineralization with Hydroxyapatite, and non-toxic toothpaste benefits.","HYDROXYAPATITE ENRICHED: Remineralizes teeth enamel naturally for total care;FLUORIDE-FREE & NON-TOXIC: 100% safe, clean ingredients without harmful chemicals;VEGAN & ASPARTAME FREE: Gently derived plant ingredients suitable for daily use;ENHANCE HEALTHY SMILE: Cleans and brightens teeth while strengthening oral health"
6,Clinitum OPENEAR Rondo Headphones,Listing Images,Clinitum,images/headphones_before.jpg,images/headphones_after.jpg,"images/headphones_after.jpg,images/headphones_infographic.jpg,images/headphones_lifestyle.jpg",+45% Click-Through Rate,"Modern Amazon listing images emphasizing ergonomic bone conduction sports utility. Focuses on ultra-lightweight portability, Bluetooth 5.2 connectivity, and stable fit.","OPENEAR BONE CONDUCTION: Keep ears open for safe listening during sports and runs;ULTRA-LIGHTWEIGHT 24G: Extremely light, ergonomic band that stays comfortable all day;BLUETOOTH 5.2 CONNECTIVITY: Stable connection, fast transfer speeds, and low power draw;SWEAT & WATER RESISTANT: Durable construction built for intensive workouts and rain"
7,Sombra Premium Hemp Body Cream,"Listing Images, A+ Content, Live Projects",Sombra Skincare,images/hemp_before.jpg,images/thumbnails/sombra-hemp.jpg,images/Sombra Body Cream/ebc/05.jpg,+33% Conversion Rate,"Amazon A+ Content and listing images for Sombra Hemp Body Cream. Focuses on minimal clean layouts, soft lifestyle visuals, and easy-to-scan infographics highlighting hydration and organic botanical benefits.","ULTRA MOISTURIZING CARE: Deep hydration for dry and sensitive skin;HEMP-ENRICHED FORMULA: Powered with organic hemp seed oil and essential botanicals;CLEAN & SAFE: Free from parabens, silicones, harsh chemicals, and artificial fragrances;SMOOTH NON-GREASY TEXTURE: Easy-glide cream formula that absorbs quickly into skin"
8,Self-Control Book: Who's Running the Show?,A+ Content,Linno Freyre,images/selfcontrol_before.jpg,images/selfcontrol_after.jpg,"images/selfcontrol_after.jpg,images/selfcontrol_lifestyle.jpg",+22% Sales Volume,"Amazon A+ Content layout for Linno Freyre's self-help book 'Self-Control: Who's Running the Show?'. Layout highlights emotional mastery, self-discipline steps, and actionable productivity guidelines.","TAKE CHARGE OF YOUR LIFE: Actionable chapters to master emotions and achieve life balance;START ANYTIME PROGRAM: Practical worksheets for mindfulness, focus, and self-improvement;PREMIUM STEP-BY-STEP EDITION: Easy-to-read layout structure built to boost daily productivity;FOCUSED CLEAN TYPOGRAPHY: Enhances credibility and encourages customer conversion"
9,Demure Soap Bar Premium Skincare,"A+ Content, Live Projects",Demure,images/soap_before.jpg,images/soap_after.jpg,"images/Demure Shop Bar/01.jpg,images/Demure Shop Bar/02.jpg,images/Demure Shop Bar/03.jpg,images/Demure Shop Bar/04.jpg,images/Demure Shop Bar/05.jpg,images/Demure Shop Bar/06.jpg",+30% Conversion Rate,"Amazon A+ Content layout for Demure Sulphur & Salicylic Acid Soap Bar. Visuals highlight anti-acne formulation, gentle pore exfoliation, hydration, and antibacterial benefits.","PORE EXFOLIATING ACTION: Gently removes dead skin cells and cleans deep into pores;REDUCES ACNE & BLACKHEADS: Active Sulphur formulation targeted to clear skin blemishes;ANTI-BACTERIAL BAR: Naturally defends against acne-causing bacteria for long-term health;SOOTHING HYDRATION FORMULA: Keeps skin hydrated and reduces post-wash dryness"
10,JUX Freeze Dried Red Onion,A+ Content,JUX Foods,images/onion_before.jpg,images/onion_after.jpg,"images/onion_after.jpg,images/onion_lifestyle.jpg",+26% Conversion Rate,"Conversion-focused A+ content for JUX Freeze Dried Red Onion Pieces. Highlights instant nutrients, 100% natural processing, fuller flavour profile, and everyday usage convenience.","ONE OF YOUR 5-A-DAY: Packed with essential vitamins, nutrients, and antioxidants;100% NATURAL FOODS: Zero preservatives, chemical additives, or artificial colorings;FULLER FLAVOUR PROFILE: Specialized freeze-drying locking in rich flavour and scent;CONVENIENT PREPARATION: Ready to use in everyday recipes without prep or tears"
11,Amer-Ice Ice Cube Trays,A+ Content,Amer-Ice,images/icecubes_before.jpg,images/icecubes_after.jpg,"images/icecubes_after.jpg,images/icecubes_infographic.jpg",+34% Conversion Rate,"Complete 7-module Amazon A+ Content for Amer-Ice Ice Cube Trays. Uses a clean, patriotic red/blue theme highlighting unique state-shaped ice cubes and forever warranty.","PATRIOTIC COLOR COMBINATIONS: 2 trays, 2 lids, and 2 colors (red and blue);FOREVER PARTS WARRANTY: Durable high-quality materials backed by lifetime support;STATE-SHAPED COMPARTMENT RELEASE: Makes ice removal simple and fun;KITCHEN ADVENTURE STYLE: Creative and functional design for home drinks and parties"
12,Ayaani Glutathione & Vitamin C Tablets,Listing Images,Ayaani Skincare,images/gluta_before.jpg,images/thumbnails/ayaani-gluta.jpg,"images/gluta_after.jpg,images/gluta_infographic.jpg,images/gluta_lifestyle.jpg",+45% Conversion Rate,"Designed 9 high-quality Amazon listing images showcasing antioxidant support, skin hydration, and vegan formulation. Visuals include a before/after comparison, ingredient breakdown, certifications, and competitor comparison.","FAST ABSORPTION TABLETS: Effervescent tablets dissolve quickly in water for maximum absorption;RADIANT COMPLEXION BRIGHTENING: Formulated to support skin tone brightness and antioxidant defense;PLANT-BASED & VEGAN COMPLIANT: Non-GMO, gluten-free, sugar-free, and contains zero synthetic fillers;EASY THREE-STEP PROCESS: Drop tablet in water, let it fizz, and drink once daily for healthy skin"
13,Ronson Brand Storefront Custom Design,Storefronts,Ronson,images/placeholder_rect.svg,images/thumbnails/ronson-storefront.jpg,images/ronson-storefront/storefront-artboard.jpg,+40% Brand Traffic,"Premium custom multipage Amazon brand store designed for Ronson luxury lighter accessories. Optimized for high engagement, brand cohesion, and conversion rate optimization.",CUSTOM LAYOUT: Modern minimalist brand shop structure;CROSS-SELLING DESIGN: Encourages multi-item orders and basket size increase;MOBILE OPTIMIZED: Seamless scrolling and checkout experience for phone shoppers
14,STARFIRE Automotive Brand Storefront,Storefronts,STARFIRE,images/placeholder_rect.svg,images/thumbnails/starfire-storefront.jpg,images/starfire-storefront/preview-01.jpg,+35% Cross-Sales,"Custom multipage brand store layout for STARFIRE automotive tools and oil care. Designed with responsive promo tiles, interactive product grids, and structured navigation.","PROMOTIONAL TILES: Drives user attention to active sales and top sellers;MULTIPLE CATEGORIES: Organized tabs for tools, oils, and specialized cleaners;BRAND STORY TELLING: Captures historical authority and customer trust"
